Date,Open,High,Low,Close
06/2024,"6,039.32","6,538.83","6,039.32","6,538.83"
05/2024,"5,540.13","6,141.75","5,540.13","5,983.83"
04/2024,"5,740.28","5,837.72","5,354.83","5,494.26"
03/2024,"5,708.92","5,831.15","5,580.52","5,753.04"
02/2024,"5,340.00","5,645.59","5,340.00","5,554.32"
01/2024,"4,950.02","5,464.07","4,875.27","5,271.79"
12/2023,"4,870.31","5,097.03","4,795.96","5,097.03"
11/2023,"4,423.66","4,908.87","4,423.66","4,863.23"
10/2023,"4,441.43","4,603.18","4,236.50","4,335.61"
09/2023,"4,655.70","4,664.90","4,315.25","4,370.59"
08/2023,"4,727.13","4,727.13","4,358.29","4,655.70"
07/2023,"4,518.66","4,733.78","4,476.48","4,719.25"
06/2023,"4,496.31","4,537.73","4,376.02","4,537.73"
