STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-01,,101.731137291144,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-02,,101.803924538832,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-03,,101.892949160526,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-04,,101.978341215056,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-05,,102.028965395418,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-06,,102.020488595196,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-07,,101.955990816217,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-08,,101.849625832965,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-09,,101.714465118628,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-10,,101.553629706725,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-11,,101.365810183677,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2000-12,,101.152779005161,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-01,,100.928925922229,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-02,,100.710441989851,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-03,,100.505621536125,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-04,,100.305102535174,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-05,,100.094245016271,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-06,,99.8651963871324,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-07,,99.6296709453732,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-08,,99.4086673369797,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-09,,99.2229332553672,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-10,,99.0826717214899,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-11,,98.9909607803853,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2001-12,,98.9439327465719,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-01,,98.9274913157058,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-02,,98.9241243549148,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-03,,98.9174995623488,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-04,,98.8961247730643,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-05,,98.8521139029779,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-06,,98.7810052318144,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-07,,98.6831791652576,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-08,,98.5624050696619,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-09,,98.426287204305,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-10,,98.2883311557707,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-11,,98.1644812796971,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,RS,Reference series (GDP),IX,Index,_T,Total - All activities,RT,Ratio to trend,_Z,Not applicable,2002-12,,98.0698360368556,,A,Normal value,0,Units,1,One,,
