"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-01","Jan-2000","PC","Percentage","0","Units",,,6.66,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-02","Feb-2000","PC","Percentage","0","Units",,,6.52,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-03","Mar-2000","PC","Percentage","0","Units",,,6.26,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-04","Apr-2000","PC","Percentage","0","Units",,,5.99,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-05","May-2000","PC","Percentage","0","Units",,,6.44,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-06","Jun-2000","PC","Percentage","0","Units",,,6.1,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-07","Jul-2000","PC","Percentage","0","Units",,,6.05,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-08","Aug-2000","PC","Percentage","0","Units",,,5.83,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-09","Sep-2000","PC","Percentage","0","Units",,,5.8,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-10","Oct-2000","PC","Percentage","0","Units",,,5.74,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-11","Nov-2000","PC","Percentage","0","Units",,,5.72,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2000-12","Dec-2000","PC","Percentage","0","Units",,,5.24,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-01","Jan-2001","PC","Percentage","0","Units",,,5.16,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-02","Feb-2001","PC","Percentage","0","Units",,,5.1,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-03","Mar-2001","PC","Percentage","0","Units",,,4.89,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-04","Apr-2001","PC","Percentage","0","Units",,,5.14,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-05","May-2001","PC","Percentage","0","Units",,,5.39,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-06","Jun-2001","PC","Percentage","0","Units",,,5.28,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-07","Jul-2001","PC","Percentage","0","Units",,,5.24,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-08","Aug-2001","PC","Percentage","0","Units",,,4.97,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-09","Sep-2001","PC","Percentage","0","Units",,,4.73,,
"IRLTLT01","Long-term interest rate","USA","United States","ST","Level, ratio or index","M","Monthly","2001-10","Oct-2001","PC","Percentage","0","Units",,,4.57,,
