Date,Open,High,Low,Close,Adj Close,Volume
"Jun 17, 2024",4409.15,4417.66,4383.73,4409.58,4409.58,329570641
"Dec 1, 2021",2956.85,3079.53,2860.99,2969.58,2969.58,5584408400
"Nov 1, 2021",2836.88,3056.89,2818.65,2956.85,2956.85,10564680300
"Oct 1, 2021",2623.83,2838.24,2580.26,2836.88,2836.88,8171571800
"Sep 1, 2021",2786.1,2808.28,2623.82,2623.83,2623.83,8247319100
"Aug 1, 2021",2693.55,2804.71,2654.14,2786.1,2786.1,9195339500
"Jul 1, 2021",2594.48,2717.13,2581.4,2693.55,2693.55,8397534500
"Jun 1, 2021",2426.93,2600.11,2395.44,2594.48,2594.48,8039751200
"May 1, 2021",2452.63,2471.87,2298.8,2426.93,2426.93,8358672400
"Apr 1, 2021",2331.06,2526.49,2331.06,2452.63,2452.63,8652287300
"Mar 1, 2021",2294.28,2372.27,2188.2,2331.06,2331.06,11474699100
"Feb 1, 2021",2269.12,2446.74,2255.8,2293.4,2293.4,8301370600
"Jan 1, 2021",2291.28,2374.76,2220.93,2269.12,2269.12,9199251200
"Dec 1, 2020",2168.1,2313.35,2158.34,2291.28,2291.28,9317331400
"Nov 1, 2020",1948.66,2202.54,1936.11,2168.1,2168.1,9069192900
"Oct 1, 2020",2054.56,2185.89,1927.64,1948.66,1948.66,10266468900
"Sep 1, 2020",2172.2,2239.9,1920.32,2054.56,2054.56,12120103900
"Aug 1, 2020",1942.39,2184.51,1942.39,2172.2,2172.2,8731266900
"Jul 1, 2020",1840.1,1942.8,1821.03,1942.39,1942.39,8952592700
"Jun 1, 2020",1718.49,1861.71,1704.48,1840.1,1840.1,9649443000
"May 1, 2020",1608.6,1729.36,1549.08,1718.49,1718.49,8631807200
"Apr 1, 2020",1414.36,1620.23,1336.53,1608.6,1608.6,10374529400
"Mar 1, 2020",1549.24,1657.18,1198.68,1414.36,1414.36,15856728100
"Feb 1, 2020",1673.91,1804.18,1476.16,1549.24,1549.24,8904096100
"Jan 1, 2020",1611.17,1735.04,1602.36,1673.91,1673.91,7913578500
"Dec 1, 2019",1544.01,1619.99,1491.43,1611.17,1611.17,6989600400
"Nov 1, 2019",1467.2,1548.39,1467.2,1542.98,1542.98,6865155700
"Oct 1, 2019",1413.36,1475.08,1356.38,1467.2,1467.2,7491991500
"Sep 1, 2019",1393.25,1442.61,1370.63,1413.36,1413.36,7220501900
"Aug 1, 2019",1420.4,1449.61,1318.64,1393.25,1393.25,6036783900
"Jul 1, 2019",1395.47,1452.77,1384.75,1417.35,1417.35,6510594400
"Jun 1, 2019",1258.6,1386.77,1227.88,1372.56,1372.56,4405697600
"May 1, 2019",1381.76,1398.51,1257.83,1258.6,1258.6,-
"Apr 1, 2019",1299.16,1394.44,1299.16,1381.76,1381.76,-
"Mar 1, 2019",1240.23,1321.11,1205.65,1299.16,1299.16,-
"Feb 1, 2019",1163.16,1251.51,1162.92,1240.23,1240.23,-
"Jan 1, 2019",1088.31,1169.35,1032.42,1163.16,1163.16,-
"Dec 1, 2018",1189.88,1219.04,1011.0,1088.31,1088.31,-
"Nov 1, 2018",1215.67,1247.2,1108.98,1189.88,1189.88,-
"Oct 1, 2018",1322.07,1338.95,1150.95,1215.67,1215.67,-
"Sep 1, 2018",1327.21,1327.21,1282.96,1322.07,1322.07,-
"Aug 1, 2018",1243.45,1334.95,1243.45,1327.21,1327.21,-
"Jul 1, 2018",1218.64,1309.64,1206.31,1243.45,1243.45,-
"Jun 1, 2018",1223.45,1272.01,1204.02,1218.64,1218.64,-
"May 1, 2018",1141.98,1234.6,1137.76,1223.45,1223.45,-
"Apr 1, 2018",1141.62,1192.52,1100.31,1141.98,1141.98,-
"Mar 1, 2018",1188.55,1244.67,1110.76,1141.62,1141.62,-
"Feb 1, 2018",1189.88,1214.48,1057.51,1188.55,1188.55,-
"Jan 1, 2018",1106.18,1203.88,1106.18,1189.88,1189.88,-
"Dec 1, 2017",1106.52,1158.01,1072.35,1106.18,1106.18,-
"Nov 1, 2017",1096.28,1127.23,1087.95,1106.52,1106.52,-
"Oct 1, 2017",1018.15,1098.67,1014.05,1096.28,1096.28,-
"Sep 1, 2017",1012.14,1020.38,989.1,1018.15,1018.15,-
"Aug 1, 2017",980.4,1013.72,971.9,1012.14,1012.14,-
"Jul 1, 2017",940.28,1000.99,930.83,980.4,980.4,-
"Jun 1, 2017",966.84,987.36,932.67,940.28,940.28,-
"May 1, 2017",928.33,973.25,928.33,966.84,966.84,-
"Apr 1, 2017",906.21,929.84,888.18,928.33,928.33,-
"Mar 1, 2017",884.05,910.35,884.05,906.21,906.21,-
"Feb 1, 2017",843.03,888.72,843.03,884.05,884.05,-
"Jan 1, 2017",807.95,856.53,807.95,843.03,843.03,-
"Dec 1, 2016",795.89,828.06,774.75,807.95,807.95,-
"Nov 1, 2016",800.64,809.16,770.97,795.89,795.89,-
"Oct 1, 2016",801.72,812.01,785.27,800.64,800.64,-
"Sep 1, 2016",782.9,804.53,763.77,801.72,801.72,-
"Aug 1, 2016",768.74,789.16,761.77,782.9,782.9,-
"Jul 1, 2016",713.04,771.12,702.84,768.74,768.74,-
"Jun 1, 2016",733.57,734.63,676.69,713.04,713.04,-
"May 1, 2016",696.81,733.74,689.98,733.57,733.57,-
"Apr 1, 2016",737.12,743.71,691.15,696.81,696.81,-
"Mar 1, 2016",675.63,742.94,675.63,737.12,737.12,-
"Feb 1, 2016",686.16,689.86,626.96,675.63,675.63,-
"Jan 1, 2016",721.48,721.48,632.97,686.16,686.16,-
"Dec 1, 2015",738.69,751.41,709.97,721.48,721.48,-
"Nov 1, 2015",734.33,751.45,711.28,738.69,738.69,-
"Oct 1, 2015",663.57,742.57,652.96,734.33,734.33,-
"Sep 1, 2015",670.62,691.78,644.08,663.55,663.55,-
"Aug 1, 2015",712.07,716.45,610.88,670.62,670.62,-
"Jul 1, 2015",691.81,734.29,680.42,712.03,712.03,-
"Jun 1, 2015",723.41,729.3,689.59,691.8,691.8,-
"May 1, 2015",708.92,730.8,697.65,723.41,723.41,-
"Apr 1, 2015",693.12,726.65,683.8,708.92,708.92,-
"Mar 1, 2015",717.41,724.39,683.14,693.12,693.12,-
"Feb 1, 2015",664.92,722.51,656.14,717.41,717.41,-
"Jan 1, 2015",692.0,698.37,661.71,664.92,664.92,-
"Dec 1, 2014",702.63,710.35,663.13,691.95,691.95,-
"Nov 1, 2014",670.62,706.15,669.22,704.2,704.2,-
"Oct 1, 2014",658.44,670.87,602.62,670.87,670.87,-
"Sep 1, 2014",665.92,672.07,651.03,659.92,659.92,-
"Aug 1, 2014",639.65,666.12,630.4,664.89,664.89,-
"Jul 1, 2014",634.28,658.51,630.93,641.32,641.32,-
"Jun 1, 2014",618.99,634.63,613.93,632.46,632.46,-
"May 1, 2014",598.24,619.37,583.79,618.45,618.45,-
"Apr 1, 2014",597.38,606.71,573.1,597.59,597.59,-
"Mar 1, 2014",591.1,604.13,584.09,596.36,596.36,-
"Feb 1, 2014",570.31,599.06,555.93,595.09,595.09,-
"Jan 1, 2014",582.77,591.61,559.63,570.33,570.33,-
"Dec 1, 2013",563.52,585.56,553.5,585.48,585.48,-
"Nov 1, 2013",544.17,563.97,541.2,562.36,562.36,-
"Oct 1, 2013",519.69,547.94,506.42,542.63,542.63,-
"Sep 1, 2013",506.14,530.52,504.47,519.26,519.26,-
"Aug 1, 2013",511.94,522.98,503.36,504.98,504.98,-
"Jul 1, 2013",492.25,516.33,490.06,509.27,509.27,-
"Jun 1, 2013",509.1,513.87,480.12,489.23,489.23,-
"May 1, 2013",487.01,515.23,482.79,508.0,508.0,-
"Apr 1, 2013",483.38,487.55,456.99,487.37,487.37,-
"Mar 1, 2013",470.0,485.61,466.97,482.31,482.31,-
"Feb 1, 2013",475.43,479.83,464.91,474.75,474.75,-
"Jan 1, 2013",463.82,479.12,463.82,470.05,470.05,44721800
"Dec 1, 2012",464.39,471.8,452.96,460.72,460.72,92687400
"Nov 1, 2012",460.85,471.21,432.76,463.99,463.99,98453000
"Oct 1, 2012",494.54,499.74,458.73,460.85,460.85,107891600
"Sep 1, 2012",488.78,509.97,484.04,495.25,495.25,92095800
"Aug 1, 2012",466.41,497.88,459.25,489.11,489.11,90635200
"Jul 1, 2012",462.02,470.63,441.9,468.11,468.11,95038200
"Jun 1, 2012",448.8,466.44,433.14,460.09,460.09,92913400
"May 1, 2012",487.02,493.44,440.59,448.8,448.8,110812800
"Apr 1, 2012",496.57,504.34,471.34,487.02,487.02,97459200
"Mar 1, 2012",472.79,503.16,462.49,497.95,497.95,109250400
"Feb 1, 2012",441.01,477.78,441.01,472.79,472.79,109357200
"Jan 1, 2012",409.93,443.26,409.93,441.05,441.05,106618000
"Dec 1, 2011",413.67,423.88,398.21,409.93,409.93,97361800
"Nov 1, 2011",421.55,429.98,386.87,410.94,410.94,114819400
"Oct 1, 2011",378.19,430.61,362.4,421.55,421.55,134836800
"Sep 1, 2011",391.57,408.19,367.26,378.19,378.19,164865000
"Aug 1, 2011",417.35,423.32,357.37,391.57,391.57,203610800
"Jul 1, 2011",410.91,435.06,409.19,417.35,417.35,133853800
"Jun 1, 2011",422.04,422.47,387.57,410.91,410.91,146734000
"May 1, 2011",429.83,431.24,408.74,422.04,422.04,131268600
"Apr 1, 2011",417.63,430.25,402.4,429.83,429.83,122418600
"Mar 1, 2011",429.03,431.39,395.33,417.63,417.63,142440400
"Feb 1, 2011",421.56,439.61,418.25,429.03,429.03,128732000
"Jan 1, 2011",404.55,429.46,404.55,419.5,419.5,130632000
"Dec 1, 2010",384.44,407.47,384.44,404.55,404.55,120341000
"Nov 1, 2010",391.58,407.81,381.27,384.45,384.45,152886400
"Oct 1, 2010",367.86,394.27,361.22,391.58,391.58,160526600
"Sep 1, 2010",328.12,373.55,328.12,367.86,367.86,166927800
"Aug 1, 2010",353.57,362.01,326.01,328.12,328.12,178921200
"Jul 1, 2010",329.92,363.29,323.47,353.57,353.57,176770200
"Jun 1, 2010",351.8,368.12,328.98,329.93,329.93,184919600
"May 1, 2010",383.53,390.33,335.56,351.8,351.8,206156600
"Apr 1, 2010",376.89,397.47,374.16,383.53,383.53,169127600
"Mar 1, 2010",353.04,382.9,353.04,376.89,376.89,165300400
"Feb 1, 2010",339.38,357.04,335.81,353.04,353.04,147117800
"Jan 1, 2010",370.71,377.5,337.44,339.38,339.38,162796800
"Dec 1, 2009",351.1,375.26,350.92,370.71,370.71,133613200
"Nov 1, 2009",334.37,361.16,331.39,351.1,351.1,133814400
"Oct 1, 2009",335.65,352.9,323.93,334.37,334.37,183548400
"Sep 1, 2009",321.3,342.06,313.17,335.65,335.65,152508800
"Aug 1, 2009",313.92,330.13,307.61,321.3,321.3,134412800
"Jul 1, 2009",287.63,319.55,271.17,313.92,313.92,172914600
"Jun 1, 2009",276.49,294.14,276.49,287.63,287.63,160640600
"May 1, 2009",270.01,277.49,258.49,273.16,273.16,149306400
"Apr 1, 2009",240.99,276.25,236.96,270.01,270.01,190626400
"Mar 1, 2009",215.01,250.08,199.07,240.99,240.99,202331400
"Feb 1, 2009",224.68,248.05,211.14,215.01,215.01,167497800
"Jan 1, 2009",231.81,251.69,216.38,224.68,224.68,161527800
"Dec 1, 2008",227.98,241.18,208.16,231.81,231.81,158435800
"Nov 1, 2008",257.42,265.58,196.48,227.98,227.98,179806200
"Oct 1, 2008",313.19,313.32,227.03,257.42,257.42,272513200
"Sep 1, 2008",358.94,365.64,297.15,310.47,310.47,203825800
"Aug 1, 2008",351.84,376.7,345.79,358.94,358.94,141190200
"Jul 1, 2008",356.35,360.03,337.48,351.84,351.84,200797200
"Jun 1, 2008",392.73,396.33,355.19,356.35,356.35,173606600
"May 1, 2008",372.42,398.56,372.42,392.73,392.73,168051600
"Apr 1, 2008",348.36,383.1,345.13,372.42,372.42,166686600
"Mar 1, 2008",345.2,361.49,334.89,348.36,348.36,167327500
"Feb 1, 2008",360.14,363.96,334.96,345.2,345.2,182519000
"Jan 1, 2008",411.59,412.82,330.32,360.14,360.14,223148600
"Dec 1, 2007",405.64,423.68,399.24,411.62,411.62,126710800
"Nov 1, 2007",441.36,441.36,389.5,405.64,405.64,190061600
"Oct 1, 2007",411.97,441.57,411.05,441.36,441.36,186334100
"Sep 1, 2007",397.04,414.62,390.18,411.97,411.97,147024200
